Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time Unit,Scale_Company_Size,Scale_Revenue
"$120,000 /yr (est.)",120000.0,"Software Developer, Frontend",2.0,1,-1,DISQO,Remote,4.5,1,8.0,201 to 500 Employees,2015,Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.1,4.3,4.2,4.1,4.2,yr,3.0,7.140425531914894
$18.00 /hr (est.),37440.0,Junior Web Developer and Designer,1.0,1,0,Craft & Communicate,Remote,3.9153684210526314,1,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,hr,4.799479166666667,7.140425531914894
"$103,193 /yr (est.)",103193.0,React JS Developer,7.0,1,-1,cortracker inc, IN,3.9153684210526314,0,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,yr,4.799479166666667,7.140425531914894
"$55,000 /yr (est.)",55000.0,Web Developer,1.0,1,-1,Region 6 ESC, TX,3.9153684210526314,0,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,yr,4.799479166666667,7.140425531914894
"$119,218 /yr (est.)",119218.0,Frontend engineer,0.0,2,-1,Trood, NY,5.0,0,49.74418604651163,-1,-1,Private,-1,-1,-1,4.6,4.4,5.0,4.4,5.0,yr,4.799479166666667,7.140425531914894
"$45,000 /yr (est.)",45000.0,Junior Web Designer & Front-End Developer,0.0,1,1,Fame Foundry, NC,3.9153684210526314,0,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,yr,4.799479166666667,7.140425531914894
"$160,000 /yr (est.)",160000.0,Frontend Engineer,4.0,2,-1,BW Talent Solutions, CA,4.4,0,20.0,51 to 200 Employees,2003,Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.4,4.2,4.4,4.4,4.3,yr,2.0,7.140425531914894
"$72,760 /yr (est.)",72760.0,Front end Developer,0.0,2,-1,Gazelle Global Consulting,Remote,3.6,1,49.74418604651163,-1,-1,Private,-1,-1,-1,3.3,3.6,3.6,3.4,3.5,yr,4.799479166666667,7.140425531914894
"$126,015 /yr (est.)",126015.0,FrontEnd (React) Developer - Remote,3.0,1,1,CEDARS-SINAI, CA,4.1,0,121.0,10000+ Employees,1902,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),4.0,4.0,4.0,3.6,3.6,yr,7.0,7.0
"$60,693 /yr (est.)",60693.0,Frontend Engineer Apprenticeship,0.0,1,0,Fetch, AL,3.7,0,10.0,501 to 1000 Employees,2013,Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.7,3.8,3.7,3.3,3.8,yr,4.0,7.140425531914894
"$105,000 /yr (est.)",105000.0,Front End Developer,10.0,1,-1,Redvest App,Remote,5.0,1,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,yr,4.799479166666667,7.140425531914894
"$104,726 /yr (est.)",104726.0,Frontend Engineer,5.0,1,1,Wonders Corporation, NY,3.1,0,11.0,201 to 500 Employees,2012,Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,3.8,4.0,3.5,3.3,3.5,yr,3.0,7.140425531914894
"$75,000 /yr (est.)",75000.0,Web Designer II,2.0,1,1,Web Tech Fusion,Remote,3.9153684210526314,1,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,yr,4.799479166666667,7.140425531914894
"$140,000 /yr (est.)",140000.0,Frontend Engineer,1.0,1,-1,Hive, CA,3.8,0,49.74418604651163,-1,-1,Private,-1,-1,-1,3.3,3.6,3.7,3.0,4.1,yr,4.799479166666667,7.140425531914894
"$91,500 /yr (est.)",91500.0,Web Engineer,0.0,1,-1,The American Kennel Club, NY,2.9,0,139.0,201 to 500 Employees,1884,Nonprofit Organization,Membership Organizations,Management & Consulting,$25 to $100 million (USD),2.2,2.9,2.3,2.0,2.8,yr,3.0,7.140425531914894
"$61,573 /yr (est.)",61573.0,Front-End-Web,0.0,1,-1,Celandyne Software Solutions, CA,3.9153684210526314,0,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,yr,4.799479166666667,7.140425531914894
"$100,000 /yr (est.)",100000.0,Front end Web Developer,2.0,1,1,Public Health Solutions,LA,3.9,0,66.0,501 to 1000 Employees,1957,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$100 to $500 million (USD),3.4,3.6,3.9,3.4,4.0,yr,4.0,6.0
"$79,025 /yr (est.)",79025.0,Web Designer / Developer,0.0,1,-1,HIYO DESIGN, NY,3.9153684210526314,0,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,yr,4.799479166666667,7.140425531914894
"$79,513 /yr (est.)",79513.0,VueJs Frontend Developer (Remote),0.0,2,0,"Avantpage, Inc.", CA,4.3,0,27.0,1 to 50 Employees,1996,Private,Business Consulting,Management & Consulting,$1 to $5 million (USD),3.8,3.9,4.3,4.1,4.0,yr,1.0,2.0
"$126,015 /yr (est.)",126015.0,FrontEnd (React) Developer - Remote,2.7088866189989784,-1,-1,CEDARS-SINAI, CA,4.1,0,121.0,10000+ Employees,1902,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),4.0,4.0,4.0,3.6,3.6,yr,7.0,7.0
"$77,000 /yr (est.)",77000.0,Web Software Developer,2.0,1,1,University of Utah,LA,4.2,0,173.0,10000+ Employees,1850,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.7,3.6,4.0,3.7,4.1,yr,7.0,7.0
"$61,218 /yr (est.)",61218.0,"Web Developer, Frontend - React",0.0,2,1,Mackin Educational Resources, MN,3.4,0,38.0,201 to 500 Employees,1985,Private,Colleges & Universities,Education,$100 to $500 million (USD),2.2,2.7,3.1,2.8,3.6,yr,3.0,6.0
"$104,032 /yr (est.)",104032.0,Frontend Software Engineer,5.0,1,-1,Subskribe, CA,5.0,0,3.0,1 to 50 Employees,2020,Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD),4.8,4.6,5.0,5.0,4.8,yr,1.0,1.0
"$65,000 /yr (est.)",65000.0,Front End Developer,0.0,2,-1,Nosto, NY,4.0,0,12.0,51 to 200 Employees,2011,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.5,2.8,4.1,3.7,4.1,yr,2.0,7.140425531914894
"$80,000 /yr (est.)",80000.0,Frontend Engineer (Remote),2.7088866189989784,-1,-1,Leaf Logistics,Remote,4.0,1,6.0,1 to 50 Employees,2017,Private,Taxi & Car Services,Transportation & Logistics,Unknown / Non-Applicable,3.9,4.2,3.9,3.8,4.5,yr,1.0,7.140425531914894
"$80,198 /yr (est.)",80198.0,front end HTML developer,2.0,1,-1,Lead5 Media, CA,4.0,0,14.0,1 to 50 Employees,2009,Private,Advertising & Public Relations,Media & Communication,$1 to $5 million (USD),4.0,4.0,4.0,5.0,3.0,yr,1.0,2.0
"$81,046 /yr (est.)",81046.0,Frontend Engineer,0.0,2,1,Stukent, ID,3.9,0,10.0,1 to 50 Employees,2013,Private,Colleges & Universities,Education,Unknown / Non-Applicable,3.7,3.1,4.3,3.9,4.2,yr,1.0,7.140425531914894
"$69,323 /yr (est.)",69323.0,Front End Web Developer,0.0,1,-1,Magnetic Creative, CA,3.9,0,17.0,1 to 50 Employees,2006,Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,3.5,3.4,4.3,3.5,4.1,yr,1.0,7.140425531914894
"$68,069 /yr (est.)",68069.0,Front End Web Developer,4.0,1,1,Samesurf, CA,5.0,0,49.74418604651163,-1,-1,Private,-1,-1,-1,4.0,3.0,5.0,5.0,5.0,yr,4.799479166666667,7.140425531914894
"$60,202 /yr (est.)",60202.0,Front-End Web Developer,0.0,1,-1,Savant Learning Systems, TN,1.9,0,49.74418604651163,-1,-1,Private,-1,-1,-1,1.9,2.3,1.8,1.7,2.1,yr,4.799479166666667,7.140425531914894
"$115,000 /yr (est.)",115000.0,Frontend Software Engineer - React,2.7088866189989784,-1,-1,"Search Leaders, LLC",LA,3.8,0,25.0,1 to 50 Employees,1998,Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.1,3.8,4.1,4.1,4.2,yr,1.0,7.140425531914894
"$72,873 /yr (est.)",72873.0,Web Developer,2.0,2,-1,Citirex, CA,5.0,0,49.74418604651163,-1,-1,Private,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,yr,4.799479166666667,7.140425531914894
"$66,832 /yr (est.)",66832.0,Front-End Web Developer,0.0,1,1,Innovative Global Vision, OH,3.9153684210526314,0,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,yr,4.799479166666667,7.140425531914894
"$71,473 /yr (est.)",71473.0,Junior Web Designer,2.0,1,0,Pixels Infotech, CA,4.0,0,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,yr,4.799479166666667,7.140425531914894
"$81,032 /yr (est.)",81032.0,Junior Software Back End Developer,0.0,1,0,Spectrum Communications & Consulting Inc., IL,4.3,0,31.0,51 to 200 Employees,1992,Private,Advertising & Public Relations,Media & Communication,$5 to $25 million (USD),4.4,4.4,4.4,4.3,4.4,yr,2.0,3.0
"$80,570 /yr (est.)",80570.0,Web Applications Developer,2.0,1,1,North Carolina State University, NC,4.3,0,136.0,1001 to 5000 Employees,1887,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),4.0,3.5,4.2,4.0,4.0,yr,5.0,7.0
"$75,000 /yr (est.)",75000.0,Web Developer,5.0,1,1,Cyber Tech Group, TX,3.9153684210526314,0,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,yr,4.799479166666667,7.140425531914894
"$75,232 /yr (est.)",75232.0,Associate Front-End Web Developer,1.0,1,0,Sherwin-Williams, OH,3.8,0,157.0,10000+ Employees,1866,Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),3.9,3.7,3.6,3.3,3.2,yr,7.0,9.0
"$113,619 /yr (est.)",113619.0,Frontend Engineer,0.0,1,-1,FactoryFour, CA,4.7,0,8.0,1 to 50 Employees,2015,Private,Machinery Manufacturing,Manufacturing,Unknown / Non-Applicable,4.7,4.6,4.8,4.4,4.4,yr,1.0,7.140425531914894
$15.00 /hr (est.),31200.0,Project Coordinator for Web Development Company,0.0,1,1,Gretrix LLC,Remote,4.3,1,49.74418604651163,-1,-1,Private,-1,-1,-1,4.3,2.9,3.8,3.3,4.0,hr,4.799479166666667,7.140425531914894
"$45,000 /yr (est.)",45000.0,Junior Web Designer & Front-End Developer,2.7088866189989784,-1,-1,Fame Foundry, NC,3.9153684210526314,0,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,yr,4.799479166666667,7.140425531914894
"$70,000 /yr (est.)",70000.0,Jr Frontend Developer,2.7088866189989784,-1,-1,QuinStreet, TX,4.0,0,24.0,501 to 1000 Employees,1999,Public,Advertising & Public Relations,Media & Communication,$500 million to $1 billion (USD),3.9,3.8,3.9,3.7,4.1,yr,4.0,7.0
"$86,479 /yr (est.)",86479.0,Intermediate/Junior Web Developer,1.0,1,0,Social Concepts, CA,1.6,0,49.74418604651163,-1,-1,Private,-1,-1,-1,1.0,1.0,1.5,1.0,1.5,yr,4.799479166666667,7.140425531914894
"$90,735 /yr (est.)",90735.0,Frontend Web Developer,2.7088866189989784,-1,-1,Tasktoday, CA,3.9153684210526314,0,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,yr,4.799479166666667,7.140425531914894
"$60,693 /yr (est.)",60693.0,Frontend Engineer Apprenticeship,2.7088866189989784,-1,-1,Fetch, AL,3.7,0,10.0,501 to 1000 Employees,2013,Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.7,3.8,3.7,3.3,3.8,yr,4.0,7.140425531914894
"$71,327 /yr (est.)",71327.0,Web Development (Front End),2.7088866189989784,-1,-1,JEMSU, CO,4.2,0,13.0,1 to 50 Employees,2010,Private,Advertising & Public Relations,Media & Communication,$1 to $5 billion (USD),4.0,3.5,4.4,3.9,4.3,yr,1.0,7.0
"$66,580 /yr (est.)",66580.0,Web Development,0.0,2,-1,I-Team, TX,2.7,0,49.74418604651163,-1,-1,Private,-1,-1,-1,2.8,3.9,3.0,3.1,2.2,yr,4.799479166666667,7.140425531914894
"$113,809 /yr (est.)",113809.0,Frontend Engineer,2.7088866189989784,-1,-1,Rephrase.ai, CA,3.9,0,49.74418604651163,-1,-1,Private,-1,-1,-1,3.4,2.8,3.1,3.4,2.7,yr,4.799479166666667,7.140425531914894
"$62,125 /yr (est.)",62125.0,Web Designer,5.0,1,1,B12, NY,4.1,0,8.0,1 to 50 Employees,2015,Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,3.3,4.7,4.2,4.2,yr,1.0,7.140425531914894
"$120,000 /yr (est.)",120000.0,Mobile App Developer - iOS/Android,5.0,2,-1,Invictech Inc,Remote,3.9153684210526314,1,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,yr,4.799479166666667,7.140425531914894
$95.00 /hr (est.),197600.0,Mobile App Designer,0.0,1,-1,Braintrust, CA,4.6,0,5.0,1 to 50 Employees,2018,Private,Business Consulting,Management & Consulting,$100 to $500 million (USD),4.4,4.5,4.5,4.4,4.3,hr,1.0,6.0
$95.00 /hr (est.),197600.0,Mobile Engineer (0-1 Development),0.0,1,-1,Braintrust, CA,4.6,0,5.0,1 to 50 Employees,2018,Private,Business Consulting,Management & Consulting,$100 to $500 million (USD),4.4,4.5,4.5,4.4,4.3,hr,1.0,6.0
"$69,900 /yr (est.)",69900.0,"Content Translator, Spanish (Remote)",0.0,1,1,Hinge Health, TX,3.8,0,9.0,1001 to 5000 Employees,2014,Private,Software Development,Information Technology,Unknown / Non-Applicable,3.7,3.8,3.9,3.8,4.0,yr,5.0,7.140425531914894
"$82,500 /yr (est.)",82500.0,Software Developer w/ Mobile App Development Expertise,5.0,1,0,FTS,Remote,3.9,1,5.0,1 to 50 Employees,2018,Private,Accounting & Tax,Financial Services,$5 to $25 million (USD),3.9,3.7,3.7,3.8,3.7,yr,1.0,3.0
$55.00 /hr (est.),114400.0,Mobile Application Developer,3.0,2,-1,Devcare Solutions,Remote,3.7,1,18.0,51 to 200 Employees,2005,Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.9,3.5,3.5,3.6,hr,2.0,7.140425531914894
"$63,837 /yr (est.)",63837.0,"Android, Mobile Engineer, Apprenticeship",0.0,2,0,Fetch, WI,3.7,0,10.0,501 to 1000 Employees,2013,Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.7,3.8,3.7,3.3,3.8,yr,4.0,7.140425531914894
"$127,500 /yr (est.)",127500.0,Android Mobile App Developer (REMOTE),2.0,1,0,GEICO, MD,3.1,0,87.0,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),3.3,3.5,2.9,2.6,2.7,yr,7.0,9.0
$50.00 /hr (est.),104000.0,Mobile app developer,3.0,2,1,Locks Global Staffing LLC, TX,3.9153684210526314,0,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,hr,4.799479166666667,7.140425531914894
"$125,000 /yr (est.)",125000.0,Frontend Engineer,1.0,1,0,SportsRecruits,Remote,4.3,1,14.0,1 to 50 Employees,2009,Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.8,3.5,4.4,4.0,4.0,yr,1.0,7.140425531914894
"$134,500 /yr (est.)",134500.0,Business Development - Advertiser Partnerships,8.0,1,-1,AppLovin,Remote,3.6,1,11.0,1001 to 5000 Employees,2012,Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.7,4.0,3.4,3.4,3.1,yr,5.0,7.140425531914894
$80.00 /hr (est.),166400.0,Mobile Application Developer,5.0,1,1,Tessolve, CA,4.1,0,19.0,1001 to 5000 Employees,2004,Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$500 million to $1 billion (USD),4.2,3.7,4.1,3.9,3.8,hr,5.0,7.0
"$54,311 /yr (est.)",54311.0,Mobile Developer (Flutter),6.0,2,1,Axians, ME,3.6,0,24.0,10000+ Employees,1999,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),3.3,3.4,3.6,3.2,3.7,yr,7.0,7.0
"$72,500 /yr (est.)",72500.0,Mobile App Developer,3.0,2,-1,PhasorSoft Group, MS,4.0,0,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,yr,4.799479166666667,7.140425531914894
$35.00 /hr (est.),72800.0,Jr Mobile App Developer.,2.0,2,-1,Adidev Technologies Inc, NY,4.1,0,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7,3.2,3.2,4.0,4.0,hr,4.799479166666667,7.140425531914894
"$113,462 /yr (est.)",113462.0,Mobile App Developer / Software Developer,0.0,1,-1,Artisan Crew Engineering (ACE), CA,4.0,0,49.74418604651163,-1,-1,Private,-1,-1,-1,3.8,3.4,3.8,3.6,4.1,yr,4.799479166666667,7.140425531914894
$50.00 /hr (est.),104000.0,Mobile App Developer,6.0,2,-1,"Kareo, Inc", CO,3.9153684210526314,0,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,hr,4.799479166666667,7.140425531914894
"$105,000 /yr (est.)",105000.0,Software Engineer,0.0,1,-1,Redvest App,Remote,5.0,1,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,yr,4.799479166666667,7.140425531914894
$90.00 /hr (est.),187200.0,"Product Designer, App Platforms (Full Time Temp)",3.0,2,1,The New York Times, NY,3.7,0,127.0,1001 to 5000 Employees,1896,Public,Broadcast Media,Media & Communication,$1 to $5 billion (USD),3.6,3.5,4.0,3.5,3.9,hr,5.0,7.0
"$49,743 /yr (est.)",49743.0,"iOS, Mobile Engineer, Apprenticeship",0.0,2,1,Fetch, AL,3.7,0,10.0,501 to 1000 Employees,2013,Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.7,3.8,3.7,3.3,3.8,yr,4.0,7.140425531914894
"$96,307 /yr (est.)",96307.0,.Net App developer -Remote,6.0,2,1,Riya Interactive Inc,Remote,3.9153684210526314,1,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,yr,4.799479166666667,7.140425531914894
"$8,915 /mo (est.)",106980.0,Sr-Principal Quality Assurance Engineer-Mobile App Automation - REMOTE,5.0,1,0,Publix Associate Services LLC,Remote,3.9153684210526314,1,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,mo,4.799479166666667,7.140425531914894
"$69,206 /yr (est.)",69206.0,"iOS, Mobile Engineer, Apprenticeship",0.0,2,1,Fetch, IL,3.7,0,10.0,501 to 1000 Employees,2013,Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.7,3.8,3.7,3.3,3.8,yr,4.0,7.140425531914894
"$66,116 /yr (est.)",66116.0,Mobile App Developer (ReactNative /Flutter),0.0,2,-1,Trood, NY,5.0,0,49.74418604651163,-1,-1,Private,-1,-1,-1,4.6,4.4,5.0,4.4,5.0,yr,4.799479166666667,7.140425531914894
"$140,000 /yr (est.)",140000.0,Android Developer,0.0,1,-1,YouMail,Remote,3.5,1,49.74418604651163,-1,-1,Private,-1,-1,-1,3.2,3.4,3.7,3.4,3.9,yr,4.799479166666667,7.140425531914894
"$120,000 /yr (est.)",120000.0,Software Developer - Android Mobile App,4.0,1,1,Costco Wholesale, TX,4.0,0,47.0,10000+ Employees,1976,Public,General Merchandise & Superstores,Retail & Wholesale,Unknown / Non-Applicable,3.9,4.3,3.7,3.4,3.3,yr,7.0,7.140425531914894
"$197,100 /yr (est.)",197100.0,(Remote) iOS Principal Mobile Developer,8.0,1,1,Stryker,Michigan,4.1,0,82.0,10000+ Employees,1941,Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD),4.0,3.9,4.1,3.8,3.7,yr,7.0,9.0
"$150,000 /yr (est.)",150000.0,Android Software Engineer (Remote),3.0,1,-1,Nimbus,LA,4.3,0,49.74418604651163,-1,-1,Private,-1,-1,-1,2.7,2.8,2.6,3.6,2.7,yr,4.799479166666667,7.140425531914894
"$101,149 /yr (est.)",101149.0,Front End Developer,0.0,1,-1,E business international,Remote,3.6,1,31.0,51 to 200 Employees,1992,Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.5,3.5,3.7,3.6,3.7,yr,2.0,7.140425531914894
"$68,487 /yr (est.)",68487.0,Mobile App Engineer (IOS/Android),2.7088866189989784,-1,-1,Experient Group, GA,4.8,0,22.0,51 to 200 Employees,2001,Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),4.3,4.5,4.8,4.6,4.8,yr,2.0,3.0
"$240,000 /yr (est.)",240000.0,Product Principal- Mobile App (Remote),8.0,1,1,Home Depot / THD, GA,3.8,0,45.0,10000+ Employees,1978,Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),3.7,3.6,3.8,3.4,3.5,yr,7.0,9.0
"$150,000 /yr (est.)",150000.0,iOS Software Engineer (Remote),3.0,1,-1,Nimbus,LA,4.3,0,49.74418604651163,-1,-1,Private,-1,-1,-1,2.7,2.8,2.6,3.6,2.7,yr,4.799479166666667,7.140425531914894
"$161,625 /yr (est.)",161625.0,Mobile Development Engineer- Android,2.7088866189989784,-1,-1,Nevro Corp., CA,3.5,0,17.0,501 to 1000 Employees,2006,Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),3.5,4.1,3.5,3.2,3.0,yr,4.0,6.0
"$129,315 /yr (est.)",129315.0,Sr. Mobile Automation Engineer,2.7088866189989784,-1,-1,Yum! Brands,Remote,4.1,1,26.0,10000+ Employees,1997,Public,Restaurants & Cafes,Restaurants & Food Service,$10+ billion (USD),3.9,3.7,4.3,3.8,4.2,yr,7.0,9.0
"$135,000 /yr (est.)",135000.0,Frontend Engineer,6.0,1,-1,MagicLinks,Remote,3.7,1,49.74418604651163,-1,-1,Private,-1,-1,-1,3.8,3.8,3.8,3.6,4.1,yr,4.799479166666667,7.140425531914894
"$100,000 /yr (est.)",100000.0,Front End Developer,0.0,1,1,"Otter Products, LLC",Remote,3.6,1,25.0,501 to 1000 Employees,1998,Private,Consumer Product Manufacturing,Manufacturing,Unknown / Non-Applicable,3.2,3.4,3.8,3.3,3.5,yr,4.0,7.140425531914894
$52.50 /hr (est.),109200.0,iOS Developer,5.0,2,-1,CALLISTOFUSION,Remote,3.9153684210526314,1,49.74418604651163,-1,-1,Private,-1,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.5746781115879833,3.788948497854077,hr,4.799479166666667,7.140425531914894
$75.00 /hr (est.),156000.0,Sr. Android Mobile Developer,8.0,2,-1,OrangePeople, TX,4.1,0,17.0,51 to 200 Employees,2006,Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3.5,3.6,4.0,4.1,4.0,hr,2.0,3.0
